일자,계(명),국내발생(명),해외유입(명),사망(명),거리두기,백신접종률,전일대비증감량,증감률
2020-02-19,34,34,0,0,0,0,0,0
2020-02-20,16,16,0,1,0,0,-18,-52.94117647
2020-02-21,74,74,0,0,0,0,58,362.5
2020-02-22,190,190,0,2,0,0,116,156.7567568
2020-02-23,210,209,1,0,0,0,19,10
2020-02-24,207,206,1,4,0,0,-3,-1.435406699
2020-02-25,130,129,1,1,0,0,-77,-37.37864078
2020-02-26,253,252,1,3,0,0,123,95.34883721
2020-02-27,449,447,2,1,0,0,195,77.38095238
2020-02-28,427,427,0,1,0,0,-20,-4.474272931
2020-02-29,909,909,0,3,0,0,482,112.8805621
2020-03-01,595,593,2,1,0,0,-316,-34.76347635
2020-03-02,686,684,2,6,0,0,91,15.34569983
2020-03-03,600,599,1,5,0,0,-85,-12.42690058
2020-03-04,516,516,0,4,0,0,-83,-13.85642738
2020-03-05,438,437,1,3,0,0,0,0
2020-03-06,518,518,0,7,0,0,81,18.53546911
2020-03-07,483,483,0,2,0,0,-35,-6.756756757
2020-03-08,367,366,1,6,0,0,-117,-24.22360248
2020-03-09,248,247,1,1,0,0,-119,-32.5136612
2020-03-10,131,131,0,3,0,0,-116,-46.96356275
2020-03-11,242,239,3,6,0,0,108,82.44274809
2020-03-12,114,112,2,6,0,0,-127,-53.13807531
2020-03-13,110,107,3,1,0,0,-5,-4.464285714
2020-03-14,107,102,5,5,0,0,-5,-4.672897196
2020-03-15,76,72,4,3,0,0,-30,-29.41176471
2020-03-16,74,70,4,0,0,0,-2,-2.777777778
2020-03-17,84,79,5,6,0,0,9,12.85714286
2020-03-18,93,80,13,3,0,0,1,1.265822785
2020-03-19,152,135,17,7,0,0,55,68.75
2020-03-20,87,73,14,3,0,0,0,0
2020-03-21,147,126,21,8,0,0,53,72.60273973
2020-03-22,98,77,21,2,3,0,-49,-38.88888889
2020-03-23,64,46,18,7,3,0,-31,-40.25974026
2020-03-24,76,46,30,9,3,0,0,0
2020-03-25,100,42,58,6,3,0,-4,-8.695652174
2020-03-26,104,56,48,5,3,0,14,33.33333333
2020-03-27,91,57,34,8,3,0,1,1.785714286
2020-03-28,146,90,56,5,3,0,33,57.89473684
2020-03-29,105,38,67,8,3,0,-52,-57.77777778
2020-03-30,78,35,43,6,3,0,-3,-7.894736842
2020-03-31,125,88,37,4,3,0,53,151.4285714
2020-04-01,101,56,45,3,3,0,-32,-36.36363636
2020-04-02,89,43,46,4,3,0,-13,-23.21428571
2020-04-03,86,37,49,5,3,0,-6,-13.95348837
2020-04-04,94,53,41,3,3,0,0,0
2020-04-05,81,31,50,6,3,0,-22,-41.50943396
2020-04-06,47,25,22,3,3,0,-6,-19.35483871
2020-04-07,47,23,24,6,3,0,-2,-8
2020-04-08,53,23,30,8,3,0,0,0
2020-04-09,39,13,26,4,3,0,-10,-43.47826087
2020-04-10,27,17,10,4,3,0,4,30.76923077
2020-04-11,30,16,14,3,3,0,-1,-5.882352941
2020-04-12,32,9,23,3,3,0,-7,-43.75
2020-04-13,25,10,15,3,3,0,1,11.11111111
2020-04-14,27,11,16,5,3,0,1,10
2020-04-15,27,13,14,3,3,0,2,18.18181818
2020-04-16,22,11,11,4,3,0,-2,-15.38461538
2020-04-17,22,7,15,1,3,0,-4,-36.36363636
2020-04-18,18,9,9,2,3,0,2,28.57142857
2020-04-19,8,2,6,2,3,0,0,0
2020-04-20,13,6,7,2,2,0,4,200
2020-04-21,9,4,5,1,2,0,-2,-33.33333333
2020-04-22,11,5,6,1,2,0,1,25
2020-04-23,8,4,4,2,2,0,-1,-20
2020-04-24,6,4,2,0,2,0,0,0
2020-04-25,10,5,5,0,2,0,1,25
2020-04-26,10,1,9,2,2,0,-4,-80
2020-04-27,10,3,7,1,2,0,2,200
2020-04-28,14,2,12,1,2,0,-1,-33.33333333
2020-04-29,9,4,5,2,2,0,2,100
2020-04-30,4,0,4,1,2,0,-4,-100
2020-05-01,9,1,8,1,2,0,1,100
2020-05-02,6,0,6,2,2,0,-1,-100
2020-05-03,13,3,10,0,2,0,3,100
2020-05-04,8,0,8,2,2,0,0,0
2020-05-05,3,0,3,2,2,0,0,100
2020-05-06,2,0,2,1,1,0,0,100
2020-05-07,4,1,3,1,1,0,1,100
2020-05-08,12,1,11,0,1,0,0,0
2020-05-09,18,17,1,0,1,0,16,1600
2020-05-10,34,26,8,0,1,0,9,52.94117647
2020-05-11,35,29,6,0,1,0,3,11.53846154
2020-05-12,27,22,5,2,1,0,-7,-24.13793103
2020-05-13,26,22,4,1,1,0,0,0
2020-05-14,29,26,3,1,1,0,4,18.18181818
2020-05-15,27,22,5,0,1,0,-4,-15.38461538
2020-05-16,19,9,10,2,1,0,-13,-59.09090909
2020-05-17,13,6,7,0,1,0,-3,-33.33333333
2020-05-18,15,5,10,1,1,0,-1,-16.66666667
2020-05-19,13,9,4,0,1,0,0,0
2020-05-20,32,24,8,0,1,0,15,166.6666667
2020-05-21,12,10,2,1,1,0,-14,-58.33333333
2020-05-22,20,11,9,0,1,0,1,10
2020-05-23,23,19,4,2,1,0,8,72.72727273
2020-05-24,25,17,8,0,1,0,-2,-10.52631579
2020-05-25,16,13,3,1,1,0,-4,-23.52941176
2020-05-26,19,16,3,2,1,0,3,23.07692308
