number,progress,title,like,contents,answer,category,sday,eday,proponent
587884,청원종료,심야시간 주류판매 금지 법안을 만들어 주세요,333,"1. 대다수 선진국에서는 심야시간에 술을 살 수 없습니다. 허가된 곳에서만 술을 살 수 있습니다.
우리나라는 심야시간 편의점 어느 곳에 가더라도 술을 살 수 있습니다

2. 술로 인한 사회적 비용이 많이 듭니다.
술로 인한 음주운전, 폭력등의 범죄와 알콜중독으로 인한 정신병원 입원 등 술에 대한 관대한 문화로 범죄의 증가와 치료를 위한 사회적 비용이 많이 들고 있습니다.

3. 코로나바이러스로 전 세계가 감염의 공포속에서 생활하고 있음에도 일부 젊은층의 클럽 문화는 지역사회의 감염을 부추기고 있습니다.

우리나라도 심야시간(새벽 2시이후) 주류판매를 금지하는 법안을 제정해야 합니다.",,행정,2020-04-08,2020-05-08,facebook
587885,청원종료,악질 성범죄자들 n번방 등 주범들 미국과 공조 수사하게  하게 해 주세요!,707,"아동을 대상으로 잔악한 성범죄를 다룬 자들  특히나 아동성착취 음란물을 만들어 돈벌이 수단으로 삼고 유포한 자들은 미국 등과 공조 수사 반드시 필요합니다.

이번 n번방 조주빈 등의 수사도 국제공조가 반드시 필요한 이유는 인터넷은 국가를 가리지 않으며 범죄가 공유 될 수 있기 때문입니다.

그 피해자들은 어마어마한 고통 속에서 심지어 자살까지 하는 데도 지금까지 우리나라 사법당국의 판결과 수사는 너무나 소극적이고 관대한 판결을 넘어 범죄를 조장하는 지경에 이르렀습니다.

미국 등과 공조함으로써 특히나 아동성범죄에 대해선 그 뿌리까지 끝까지 파헤치겠다는 의지를 보여 줌으로써 익명성 속에 숨어 온갖 못된 짓을 하던 자들 끝까지 추적하여 단죄해야만 다시는 이런 끔직한 일들이 벌어지지 않을 것입니다.

반드시  이 아동성범죄자들 수사는 미국으로 보내 수사하게 해야 합니다.

'악랄' 성착취 원조 출소 임박..""美 보내 엄중처벌"" - https://news.v.daum.net/v/20200331203111040",,인권/성평등,2020-04-08,2020-05-08,kakao
587886,청원종료,오픈마켓 수수료 인하해야합니다.,257,"저는 제조와 도소매업을 하는 자영업자입니다.
시대 흐름에 따라 사업의 방향도 오프라인에서 온라인으로 변화되어 왔습니다.
온라인 판매엔 여러 방법이 있으나 많은 부분이 대기업에서 운영하는 오픈마켓에서의 판매 비중이 큰 상황입니다.
많은 오픈마켓이 있지만 ***,**,****,****,**,***등 대형 오픈마켓의 사장 점유율이 대부분인 상황에서 이들 대형 오픈마켓의 판매수수료율이 8~12% 정도입니다.
이는 판매자 수익의 절반이나 절반이 넘는 수준에 이르러 있습니다.
또한 판매를 위한 광고료 까지 생각한다면 수익의 절반을 훌적 넘는 수준의 사용료입니다.
판매의 장이 되어주고 기회가 되기도 하지만 너무나 가혹한 수수료율로 부가가치의 대부분이 대기업으로 편중되는 상황입니다.
정부는 소상공인과 서민들을 위하여 카드수수료 인하,통신요금인하등의 정책을 펴고 있듯이 대기업 오픈마켓의 수수료, 광고료, 대금지급기일 등에 대한 불공정를 바로 잡는 정책을 펴야 한다고 생각합니다.
판매수수료 인하, 광고료인하, 대금지급기간 단축등을 적극적으로 검토하여 시책을 마련 할 것을 청원합니다.

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]",,경제민주화,2020-04-08,2020-05-08,naver
587887,청원종료,버스기사들의 밤샘도박,399,"**고속 버스기사들의 도박 건으로 청원 올립니다.
kbs 뉴스에도 나왔고 뉴스에선  부조합장 인터뷰에
본인은 수억을 잃었다 하는데도 어떻게 기소유예가
떨어졌다고. 본인들 입으로 당당하게 말하고 다닐수
있는지 참으로 뻔뻔하며. ***tv 에서도 방송
된적도 있습니다  음주운전보다 더 나쁜 밤샘 도박을
하며 운전을 할시에 졸음운전이  더 위험하다
말하시며 버스에탄 승객은 물론이와 도로에 같이
달리는  차량들은 얼마나 위험 하겠습니까?
**고속 회사에선  지역사회  인과관계를 이용해
축소 은폐하려하며  회사에선 도박을 한 직원들에게
어떠한 징계조치 조차  하지않았으며 kbs뉴스 방송
후에도 노름을 지속해 왔으며 그 노름판 자리엔
**고속 노동조합장 및 부조합 장이  항상 끼어
있으며  노름판에서 수천만원을  잃고  하루아침에
사라진 동료는 노름판을 촬영 하였고 주변 동료
에게 녹화파일을 넘기고 하루아침에 사직을 하였으며
그 녹화 파일본 동료들을 노동조합조합장은 적반하장으로 명예훼손 으로 고소를 하였으며
버스기사의 도박은 없어져야될 악행 입니다
모든 시민의 안전이 연결된것입니다

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]",,교통/건축/국토,2020-04-08,2020-05-08,naver
587888,청원종료,코로나 증상 의심자 비행기 탑승관련,351,"긴급히 청원을 드립니다. 
현재 멕시코에서 출장을 마치고 한국으로 귀국예정인 국민입니다. 

현재 멕시코에서 한인 1명이 확진이 되었고
그 내용은 대사관 홈페이지를 통해 공지가 되었습니다. 자세한 내용은 없었지만, 실제로 누구인지 동선이 어떤지에 대해서는 밝힐 수 없어서 교민들이 운영하는 까페에 모두 올라가 있습니다.

문제는 현재 멕시코에서 확진받은 환자의 1차 접촉자가 4/8일 한국으로 가는 비행기에 탑승한다는 소식을 듣고 현지 교민 및 탑승예정자 사이에서 탑승을 말려야 한다는 민원이 이어지자 주멕시코 대사관에서도 1차 접촉자분을 설득중이라고 합니다. 교민들 사이에서는 그분이 폐렴증상등이 있다고 하는데 현재 4/6 일요일 오후 4시 30분 까지 코로나 검사를 받지는 않았고, 아직도 비행기 탑승에 대해 생각하고 있다는 겁니다. 물론 발열이나 기타 문진을 비행기 타기전에 한다고 하지만 기본적으로 약을 먹었거나 의심증상이 있거나 밀접접촉을 본인이 했으면 비행기 탑승을 스스로 하지 않아야 하는 건 아닌가요? 
이미 4/8일 비행 까지는 검사를 해도 결과가 나오지 않기 때문에 검사를 받는들 소용이 없는 상황에서 밀집된 공기에서 15시간을 같은 비행기에 타고 한국으로 갈 생각을 하니 정말 걱정이 앞섭니다. 저 뿐아니라 많은 비행기 탑승예정자, 대사관에서도 법적으로 막을 길이 없다는 말이 당황을 금치 못하고 있습니다. 국민청원 드립니다.",,보건복지,2020-04-08,2020-05-08,kakao
587889,청원종료,장애인 대상으로 한 부당계약 설계사 구속해주세요,1461,"지적장애인을 대상으로 한 보험료 편취와
부당계약 증거 불충분으로 인한 불기소 판정을 
철회해주세요",,보건복지,2020-04-08,2020-05-08,kakao
587890,청원종료,보육교사 장기미종사자 교육 취소해주세요,590,"안녕하세요
어린이집에서 근무하고 있는 교사입니다

결론먼저 말씀드리면 
보건복지부에서 2020년 장기미종사교육 취소부탁드립니다

교육업무는 원래 한국보육진흥원으로
원칙은 어린이집 임용되기전 장기미종사자 교육을 받아야하는데 현재 한시적으로 코로나때문에 8월 31일까지 연기된 상태입니다

그리고 각 도별로 교육권한이 넘어온 상태인데
경기도 기준 5월부터 교육시작으로
평일 월요일부터 금요일 시간은 오전 9시-14시 50분입니다

장기미종사자 교육의 취지는 좋으나
어린이집 특성상 교사가 자리을 비우기 무척 어려우며
대체교사를 구해서 일주일동안 교육을 받아야하는데 이마저도 어려운 상황입니다

원래 어린이집 근무전 하루 이상만 일해도 장기미종사자
교육 안받아도 되는데
벌써 3월 4월 두달 가까이 이미 근무를 하고있으니
장기미종사자교육 보다는 현장에서 아이들에게 더 힘을 쏟는 것이 더 중요하지 않겠습니까?

만약 교육을 꼭 받아야한다면 온라인 수업을 들을수있게 해주시거나

혹은 온라인 수업이 어렵다면 
코로나 사태가 끝나고 주말교육이라도 개설해주실수는 없는지요???

한국보육진흥원에서는 도청관할이라하고
각 도청에서는 원래 한국보육진흥원 일이니 모르겠다고만 답변하여 각 어린이집 교사들을 대표하여 청원에 올리게 되었습니다 

긴글 읽어주셔서 감사드립니다",,보건복지,2020-04-08,2020-05-08,kakao
587891,청원종료,"**여중,여고 앞 성매매업소 **** ***** 철거 요청",1991,"강남 유흥업소를 통한 코로나 집단 감염 결국 터지고 말았습니다. 전국민적인 사회적 거리두기를 비웃기라도 하듯 성매매업소는 쉬지않고 있고, 이런 곳들 한두군데가 아닙니다. 특히 논현 쪽에 이런 성매매업소들이 허다하지만, 하물며 **여중 **여고라는 학군 근처에서 버젓이 영업하고 있는 아래 두군데 업소는 정말 위험하기 짝이 없습니다. 

**** (***로 **길 *)
***** (**로**길 **)

어느 곳보다 청정해야할 여중 여고 학군에 위 두군데 업소는 도대체 어떻게 버젓이 영업을 지속하고있는지 알 수가 없습니다. 어린 학생들이 일상처럼 지나가는 길에 성매매업소가 자리잡고 있습니다. 오늘도 어제도 낮밤으로 위 업소들의 주차장은 비질 않습니다. 발렛 기사들에 쉴새없이 차를 옮깁니다. 강남구의 수많은 학부모, 학생 입장에서 낯뜨겁지 않을 수 없습니다. 

텔레그램 n번방 같은 반인륜적 범죄행위 다시 두고볼 수 없습니다. 그 예방, 철폐의 시작은 이런 곳들의 뿌리를 뽑는 것에서 시작될 것입니다. 

안전하고 깨끗한 환경에서 공부하고싶고, 키우고싶습니다. 부디 강남구 모든 학부모님, 학생분들의 동참을 간곡히 요청드립니다. 
지금이라도, 바꿀 수 있습니다.

 [본 게시물의 일부 내용이 국민 청원 요건에 위배되어 관리자에 의해 수정되었습니다]",,안전/환경,2020-04-08,2020-05-08,kakao
587892,청원종료,이번 1학기 교육계열 정보공시를 하지 않았으면 좋겠습니다.,404,"안녕하세요. 초등학교 교원입니다.

온라인 개학을 이뤄내시느라 수고 많으십니다. 전국 모든 교육감님 고생하고 계시고 장학사님들도 모두 고생하고 계십니다. 선생님들 모두 고생하고 계십니다. 집에서 밖으로 계속 나가고 싶어하는 자녀들을 상대하는 학부모님들께 감사를 표합니다. 학부모님들 덕분에 자녀들의 안전이 지켜지고 있습니다.

이번 2020년도는 굉장히 특이한 해입니다. 개학이 자주 미뤄졌습니다. 2주씩 미뤄지고, 마지막에 다시 2주가 미뤄져서 중학교, 고등학교는 이번 주부터 온라인 개학을 하게 되었습니다. 애초 계획이었다면 3월 초에 학생들 얼굴을 볼 수 있었는데 이제는 4월 중순을 넘어서야 모니터 너머로 학생들의 얼굴을 확인하게 되었습니다.

그런데 학교가 언제부터 다시 실제적으로 학생들이 올 수 있을지는 아무도 장담 할 수 없습니다. 상황이 좋아질 수도 있고, 아니면 상황이 지속되어 1학기 내내 온라인으로 수업할 수도 있습니다

문제점이 여기서 발생합니다. 상황이 어떻게 변할지 모른다는 점 입니다. 모든 교원들은 교육과정 문서를 작성해야합니다. 교육과정 문서는 1학기, 1년 동안 어떻게 학습을 해나갈지, 어떻게 평가를 내려야 할지 작성하는 문서입니다. 1학기의 주춧돌이 되는 만큼 선생님들은 모두 신중하게 고민하여 작성합니다. 
범교과 계획도 이 교육과정 안에 들어갑니다. 모든 자율활동, 동아리 활동, 봉사활동, 진로활동, 각 과목의 시수 모두 교육과정 문서 안에 들어갑니다.
교육과정 문서는 그 양이 방대하여 쉽게 고칠 수 있는 문서도 아닙니다. 교원들은 머리를 싸매면서 교육과정 문서를 작업하고 있습니다.

이번 년도는 교육 계획이 너무 자주 바뀌었습니다. 저를 포함한 대다수의 선생님들이 4차례 이상 교육과정을 수정해야 했습니다.  교육과정은 언제든지 변경될 수 있는 사안임에도 불구하고 말입니다. 새롭게 변경할 수 있고, 재구성했던 교육과정안이 학생들과 맞지 않아 수정될 수도 있습니다.

놀랍게도, 이번 년도에 또 다시 어떻게 상황이 변할지 모르겠습니다. 교육과정 문서를 작성하는 시간에 차라리 온라인 수업에 더 힘을 쏟고 싶습니다. 
역사상 처음 있는 온라인 개학이라서 모든 선생님들이 혼동하고 있습니다. 선생님들마다 각자 방식도 다르고, 추구하는 바도 다릅니다. 저희 교원들은 지금 그 과정을 바로 잡아가고 있습니다. 
부디 교원들이 온라인 학습에 온 신경을 쓸 수 있게 이번년도 교육과정 문서를 정보공시하지 않게 해주시길 바랍니다. 내년까지 기대하는 것도 아닙니다. 이번 1학기 동안만은, 교사들이 문서 작업에 열중하기 보다 어떻게 하면 학생들에게 더 양질의 교육을 제공할 수 있는지 고민하고 있으니 힘을 한 곳에 모을 수 있게 건의드립니다.",,육아/교육,2020-04-08,2020-05-08,naver
587893,청원종료,20년 상반기 국가 자격시험 연기를 청원합니다,1134,"코로나로 온 나라가 어수선한 요즘
4.25일 기사시험을 시작으로,
경영지도사, 세무사, 공인노무사 등
각종 시험이 예정되어 있습니다.

수만명에서 수십만명이 응시하는 시험에
체온을 측정하고, 마스크를 쓴다고 전염이 안되리라고 생각하는 것은 너무 안이한 생각입니다.

시험 준비를 위해 
응시생 상당수가 독서실에서 공부하고 있고, 학원에 다니고 있습니다.
시험당일 열이나도 자진해서 신고하기보다
해열제를 먹고서라도 응시하려는 사람이 많을 것입니다. 몇년을 준비한 시험을 열이난다고 자진해서 날려버릴 사람은 거의 없을 것입니다.

1차 시험과정에서 코로나에 걸리기라도 하면
2차 시험은 떨어질 것이 분명하고
이는 개인적 책임보다
시험 주관처의 운영책임이 크다고 생각합니다.
공평한 응시기회를 보장하기 위해
코로나의 위험성이 낮아질때까지
해당 시험들의 연기가 반드시 필요합니다.",,일자리,2020-04-08,2020-05-08,naver
