number,progress,title,like,contents,answer,category,sday,eday,proponent
586903,청원종료,직접 세입자에게 혜택을 주세요!! 착한 임대인 감면정책 말고..,322,"착한 임대인 운동에 따른 세금 감면 먼저 고맙습니다.
하지만 냉혹한 현실은..
1도 영향이 없는 수많은 자영업자들에게는 이 정책이 더 큰 고통으로 다가오고 있습니다... 

저희 주인 포함 소득 신고 안하는 상가 주인들 어마어마합니다. 
소득이 있는 곳에 세금이 있지만..
먼저, 소득신고가 있는곳에 세금이 있고
세금이 있는곳에 감면도 있습니다..

주인분들도 이 어려운 불경기에 다 나름대로 
각자의 사정이 있을거고 세입자들 못지않게 어려울텐데
위와같은 이유로 돌아가는 혜택이 없을때는 세입자들에게 어찌 선의를 베풀수 있을지..

그래서 그런지 주인분은 전화 한통 없습니다. 
전화 없는 주인에게 사정하는것도 더 고통스럽고,
돌아오는 답이 현재와 달라질게 없다면 전화 안하느니만 못한거고..
조정해 주고 싶으나, 주인분들의 현실도 막막하다면 그분들도 괴로울것이고...

왜 굳이 주인을 거쳐야하는지 도무지 이해가 가질 않습니다!!!

진심으로 자영업자들 너무너무 힘듭니다!!
월세도 월세지만 너무 많은 각종 세금(곧 나올 부가가치세와 종합소득세)과 대출이자, 생활비, 아이들은 어리고.. 대한민국에서 부부 둘이 벌기에 적금은 커녕 버티는것도 대견한 상황입니다..

이에.. 간곡히 부탁드립니다!!

임대인 거치는 정책 말고 세입자들에게 직접 혜택이 가는 정책으로 전환해 주시길 간곡히 부탁드립니다!!

그렇게 해주시다면 세상의 모든 부모들 이 어려운 시기를 죽을 힘을 다해 버텨보겠습니다...

긴 글 읽어 주신분들 감사드리고, 모두 힘냅시다~~!!!",NaN,행정,2020-03-22,2020-04-21,naver
586908,청원종료,코로나19관련 임대주택 임대료갱신시 동결에관한 건의입니다.,218,"lh에 민원제안을 해서 답변을 받았습니다.
기존 제안드렸던 사람인데 다시한번 제안드립니다.

2. 답변내용 
   - 10년 공공임대주택은 관련법령(「주택임대차보호법 시행령」 제8조, 「공공주택특별법」 제49조)이 정한 범위(5%) 내에서 주거비 물가지수 등을 고려하여 갱신계약 시 인근 전세시세 등을 고려하여 보증금 및 임대료가 결정되고 있습니다.  

   - 코로나19 사태로 인해 자영업자는 물론, 일반 근로자들도 적지 않게 많은 어려움이 있으시겠으나, 현재 임대주택 재고 증가에 따라 매년 임대주택 운영손실 증가 추세로 임대주택 운영과 관련된 임대료 및 보증금의 임의적인 조정이 어려운 사항임을 알려드리오니 많은 양해 부탁드립니다.  

이렇게 답변을 받았는데...
첫번째 내용은 충분히 이해가 가고 또 당연한 말씀입니다..
그런데 두번째..이부분이 좀 그렇네요...  임대주택운영손실증가추세..--> 이말 좀 듣기 거북하네요..
연일 LHs고 SH고 입주자들의 고충이 심한데 주체 사업자만 배불린다는 언론 및 방송 수없이 봤습니다.

한국은행도 금리를 0.5% 내리는 초강수 및 재난기본소득 지급이라는 내용이 나왔겠습니까.(현재 얼마나 시장경제등등 어려우면 등등)
현시국 서로 서로 착한임대인이다등 서로서로가 배려하는 이시국에 LH같은 서민을 위한다는  국가관련단체에서 (현재 임대주택 재고 증가에 따라 매년 임대주택 운영손실 증가 추세로 임대주택 운영의 어려움) 이란 대답을 내놓는게 좀 마음이 씁쓸합니다.
매번도 아니고 이번 이 코로나 시점에서 한번정도의 동결을 타당성 있다고 생각입 듭니다.

모근 임대세입자에게 곤란하시다면 저소득층이라도 혜택을 주어 이 어려움을 다같이 헤쳐나가야 되지않겠습니까?
좀 긍정적인 검 부 다시한번 부탁드립니다.

다시한번 긍정적이 답변 부탁드립니다.
지지 부탁드립니다.",NaN,보건복지,2020-03-22,2020-04-21,naver
586909,청원종료,절실하게 도움이 필요한 저신용자 소상공인에게도 기회를 주세요,303,"저는 8등급의 신용등급을 가진 장기연체 기록을 가진 저신용자이자,
6년째 자영업을 하고 있는 사람입니다.

제가 살고 있는 곳은,
코로나19 이전부터 경기 침체로 인해 
많은 자영업자들이 문을 닫고 피해를 보고 있는 곳 이였습니다.

정말 하루하루 힘겹게 버티다보니,
제 신용등급은 날이 갈수록 바닥을 치고 있었고,
결국 장기연체기록자라는 꼬리표까지 달게되었습니다.

그러던중 코로나까지 발생하였고 상황은 더 힘들어졌습니다.

그러나 조금씩 나아지고 있는 소상공인을 위한 대책에
그나마 실락같은 희망을 가지게 되었습니다.

하지만 저신용자도(7-10등급) 신용보증재단의 대출이 가능하다는 소식은,
신용정보등록자와 30일 이상 연체기록이 있는 자는 해당사항이 되지 않았습니다.

많은 저신용자들이 30일이상 연체와 장기연체를 가지고 있습니다.

결국은 7-10등급까지 가능하단 말은 허울뿐이였던 겁니다.

저처럼 도움을 받지 못한 많은 분들이 대부업이나 사채를 알아보고 있는 상황입니다.
그러나 이마저도 여의치 않은 분들은 개인회생을 준비중이기도 했습니다.

이렇게 절실하게 도움의 손길이 필요한 소상공인에게도 부디 기회를 주세요.

필요도 없는 대출이지만 이자가 싸니깐 받아놓는다고 하는 사람들,
대출받아 부동산이나 주식투자를 하겠다고 하는 사람들,

그런 사람들말고
정말 절실하게 도움이 필요한 연체기록자,저신용자들에게도 기회를 주시기를 간곡히 부탁드립니다.",NaN,기타,2020-03-22,2020-04-21,naver
586910,청원종료,자영업자의 어려움과 다중이용시설 행정명령에 대해 살펴봐주세요.,462,"전 시기적으로 문재인 정부 출범 시기에 맞춰 자영업 오픈을 하게된 사람입니다.
처음 제가 오픈했을 때 시급이 7,000원 정도였으며, 전 직원들을 작지만 조금 더 챙겨주고 싶은 생각에 7,500원을 주었습니다. 그러나 오픈 2년만에 시급은 30% 이상 오르게 되었습니다. 그 이후 도저히 최저시급으로 맞춰 줄 수 밖에 없었습니다. 시급 올리고 난 후 자영업자에 대한 지원책이라고 내놓은 것이 임대차갱신요구권을 5년에서 10년으로 연기한 것이었습니다. 자영업자들은 한곳에서 2,3년 이상 버티는 것도 힘듭니다. 5년이상 한곳에서 영업하는 자영업자들이 10%로라도 되는 줄 아십니까? 거의 그전에 망하는 곳이 대부분이에요. 

상가임대차보호법도 적용을 받을 수 있는 자영업자들은 거의 없습니다.
현재 서울의 경우 소액보증금한도가 6,500만원입니다. 환산보증금이 6,500만원 이하인 자영업자만 최우선변제를 받을 수 있습니다. 환산보증금이 6,500만원 이하가 될려면 예를 들어 (보증금 2천만원 / 월세 45만원) 이어야 해당이 되는 겁니다.
이또한 현재 임대차 현실 상황에서 거의 적용 대상이 될 수 없다고 봐야 합니다.
이 어려운 상황속에서도 최선을 다해 3년을 잘 버텨 왔다고 생각했는데... 이번 코로나 사태 때문에 절대절명의
위기에 빠졌습니다. 전 경기도에서 코인노래방을 운영하고 있어서 어제 이재명시장이 발동한 행정명령을 3월23일부터 2주간 이행해야 합니다. 행정명령 7가지 내용 수칙을 읽어보면... 실상 영업이 불가합니다.
저도 코인노래방의 주 고객인 아이들의 안전이 중요합니다. 행정명령 발동 이전에도 일이주 정도 문을 닫아야 하나를 두고 고민을 하였습니다. 아침, 저녁, 손님이 들어가실 때 마다 소독을 하고 최대한 방역을 한다고 해도 혹시 집단 감연이 되어 제 사업장이 아이들의 안전을 헤칠수도 있다고 생각하면 끔찍해서 문을 닫는 부분을 고민했었습니다. 그러나 슬픈 현실이 일단, 임대료는 내야 하잖아요. 그래서 최대한 방역에 힘쓰며 문을 열어놓았습니다. 
근데 어제 이재명 시장이 행정명령을 발동 하는데... 우리 자영업자들을 완전 무시하더라구요.
일단, 행정명령을 발동하기전에 저희와 협의를 하였어야 하며, 실상 영업을 할 수 없는 2주간에 대한 지원대첵도
함께 제시가 되었어야 맞습니다.

전 아이들의 안전을 위해 행하는 이번 행정명령에 대한 반대가 아니고, 이재명 시장의... 또 정부의 자영업자에 대한 배려 없는 처사와, 자영업자에 대한 고충에 대해서 전혀 고려하지 않는 이 정치권의 정치인들에게 너무 화가납니다.

이재명시장 행정명령은 사실상 영업이 불가합니다.
영업권도 사유재산입니다. 사유재산에 대해 협의도없이, 구체적 지원대책 제시도 없이
강제로 제한을 두는건 아닌 것 같습니다.
차라리... 전체 문을 닫고, 문을 닫은 2주간에 대한 임대료만이라도 지원해주시던지
행정명령을 그대로 이행한다면... 그에 따른 구체적인 지원대첵도 조속히 발표해 주세요.
제발 정책을 펴실 때 자영업자들의 입장에서도 고려를 해주세요.
부탁드립니다.",NaN,경제민주화,2020-03-22,2020-04-21,kakao
586911,청원종료,도와주십시요 대통령님 저희가족좀 살려주십시요,621,안녕하십니까 저는 올해 44살 남성이고 동갑내기 와이프와 올해 23살되는큰딸 21살되는둘째딸 그리고 초등학교3학년이되는 막둥이 아들넘을둔 한가정에 평범한 가장이자 작은 식당을 운영한지 횟수로 7년째접어드는 자영업자입니다 무슨말을어떻게 꺼내야할지 막막합니다 지금 이상황에 저만힘들다고 도와달라고 하는건아닌지 제가이기적인 넘인가 하는생각마저듭니다 하지만 더는 하소연할곳도 도움을 요청할곳도없고 해서 이렇게 용기내어 글을써봅니다 이번 코로나19사태로 안그래도 힘든 가게운영에 더는 앞이안보이는 상황인지라 친한 친구에 사업투자 제의를받고 사업인증만 끝나면 투자한돈을 다시 돌려받고 투자한만큼에 몇%를 인센티브로 받을수있다는 말에 솔깃해 지푸라기라도 잡는 심정으로 제2금융권을통해  5천만원에 대출을받고 제모친을설득해 제모친의 월세 이전 비용 2천을더받아 총 7천만원을 사업인증자금으로 투자하게되었습니다 그돈이 피싱앱사기를맞아 저를포함해서 저와같이 투자한 몇몇 지인들돈과 제가빌린돈을다해서  1억4천5백만원을 피싱앱사기로 날리게되었습니다 그래서 지금 강북경찰서 사이버수사대에 신고접수를한상황입니다 아직까지도 제자신이 사기를당했다는 생각이들지않을정도로 어안이 벙벙하고 믿기지가 않는상황입니다 하지만 제가 넉을놓아버리면 제가 포기해버리면 남아있는식구들이 어떻게될까하는생각에 하루이틀 정신줄을놓고 멍하게있다가 나라에서 긴급히 소상공인들을위해 코로나19긴급자금지원을한다고해서 신청하게되었습니다 신청서류나 신청조건이 쉬운편은 아니나 이거라도 어떻게 신청하지 못하면 정말 죽는다는심정으로 국세 완납증명서와 지방세 완납증명서를 제출하기위해 세무서와 구청 에서 조율해줘 한달에 십몇만원씩 분납하고있던 세금 2백만원돈을 카드할부로 전부 납부했습니다 그리고 필요하시다는 서류다만들어 제출했구요 그런데 담당자 하시는말씀이 서류 접수하고 한달반에서 두달정도걸려야 자금지원이 가능하다하셨습니다 대통령님 근데 이 지원자금이 긴급지원이 맞는건지요? 이렇게 시간이 걸려서 자금지원해주는게 긴급이란단어가 들어가는게 맞는지 또한숨만 나옵니다 그리고 부탁드립니다 제발부탁드립니다 지원해주신 나라돈 실망시키지않고잘값겠습니다 그냥 저 힘드니까 저죽을지도모르니까 도와주세요가 아니라 나라돈지원해주시면 이힘든시기잘버티고 이겨내서 이나라국민으로써 제자리에서 제몫을다하겠습니다 제발좀 부탁드립니다 제발좀도와주세요 대통령님 너무힘이듭니다  이나라 전체 모든 국민이 다힘들단거 압니다 아는데 더는 기댈곳도없고 하소연하거나 부탁할곳이없어 이렇게 부탁드립니다 도와주십시요 가끔언론매체들을 보면 힘든 가정들의 비극적인 소식들이 간간히 들려오곤합니다 대통령님 저는 절대 죽어도 못죽습니다 저는 끝까지 버티고버텨서 제가정 제식구들 끝까지 지켜낼겁니다 제발한번만 도와주십시요 다시한번 간곡히 부탁드립니다 이청원이 너무나 개인전인 청원이라 죄송스럽긴하지만 다시한번 부탁드립니다 저희가족들을 지킬수있도록 도와주십시요 부탁드립니다 대통령님,NaN,기타,2020-03-22,2020-04-21,kakao
586917,청원종료,소상공인 저리로 대환이라도 해주세요,346,"현재 코로나 지원자금은 결국에는 여유있고 대출없고 한 사람들에게만 지원이 되고있는게 사실입니다
지금 당장 죽게 생긴 자영업자나 소상공인들은 이미 이렇게 사태가 오기전부터 급한자금 막느라 여기저기 다 대출을 하고
끌어다가 울며겨자먹기식으로 고금리라도 써가며 막고있었습니다 그러다 막상 국가저금리 지원이 나오니 활용을 할수도 없을뿐더러 거절당하기 쉽상입니다. 신용이 좋고 대출 한도가 넉넉한 자영업자들과 달리 현재 심각한건 신용도 낮고 대출한도도 안나오는 정말 영세 자영업자입니다. 저도 마찬가지지만 이런분들이야 말로 정말 벼랑끝에 서있습니다.
돈을 더많이 빌려달라고 하지도 않습니다 더이상 빚내다간 어차피 갚을 여력도 사라질테니까요. 그래도 최소한 이런 정말 심각한 자영업자 및 소상공인 국민들을 위해 추가대출을 못해준다라고 한다면 저리로 대환할수 있는 방법이라도 만들어주세요 진짜 힘든 국민들 자영업자 소상공인은 1금융권을 이용못하는 사람들입니다. 부탁드리겠습니다. 이제는 정말 약한 바람에라도 낭떠러지로 떨어질 것 같습니다.",NaN,기타,2020-03-22,2020-04-21,naver
586919,청원종료,학원 및 자영업자들을 살려주세요..,2735,"안녕하세요.. 

답답한 마음에 청원글을 작성하게 되었습니다..
요즘 코로나19로 인해 모든 분들이 힘든 시기라는거 알고있습니다.

좀전에 기사하나가 올라와 읽어보니 정세균총리님께서 ""종교,실내체육,유흥시설 등 보름간 운영 중단 강력권고""
라고 발표를 하셨다고 기사가 올라왔습니다...
거기에 더불어 ""정부의 행정명령을 따르지 않는 경우에는 시설폐쇄는 몰론 구상권 청구등 법이 정한 가능한 모든 조치들을 취해 나가겠다""라고 말씀을 하셨습니다...

과연 이 코로나19라는 바이러스가 학원이나 자영업자들이 운영하는 부분에서만 문제가 발생하는 것일까요?
코로나 19라는 바이러스는 아이들보다는 어른들이 일하는 직장 또는 많이 이용하는 대중교통에서 전염 가능성이 가장 크다고 생각합니다.. 
학원 및 자영업자들이 운영하는 부분에 있어서 정부에서 구상권에 강제폐쇠를 말씀하시는건 협박성 문구라고 생각이 듭니다.. 

학원 대부분이 현제 한달 가까이 또는 한달넘게 휴원하는곳이 많이 있습니다...
학원 원장님들은 모두 경제적 가장 큰 위기를 격고 있습니다.. 
학원을 휴원하여 수입은 없고 평상시와 같은 지출은 계속되고  있습니다.. 
(월세, 직원월급, 생활비)등등 지출이 발생하는 것이지요.. 그렇게 되면 자영업자들은 많은 타격을 가지고옵니다...
정부의 휴원 권고로 한달넘게 또는 한달가까이 휴원을 한 학원들은 경게적 가장 큰 위기를 맞으며 
망해가는 길이 되고 있는 상황입니다 
하지만 이렇게 지출되는 부분에 정부의 지원은  없고 대출을 지원책으로 놓고 휴원을 권고 하고 있습니다...

여기서 질문 드려보겠습니다
대출만이 정부에서 도와주실수 있는 대책인가요?
만일 이 코로나가 오래가게 되면 정부에는 계속해서 학원 및 자영업자들에게만 휴원을 권고 하실껀가요?
학원과 같은 시설보다 회사, 마트와 같이 사람들이 모이는 곳은 위험하다고 생각 안하시나요?

또한가지를 말씀 드려보겠습니다.
코로나 예방법으로 ""사회적 거리두기""라는 캠폐인을 현재 시행하고 있습니다.
사회적 거리두기를 강조하시는 시기에 투표를 시행하는건 언행일치가 안된다고 생각합니다.
그런데  투표를 하는것은 자영업자들이 운영하는것보다 더 큰 감염성을 가지고 올수 있다는 생각은 안하시나요?
투표를 하게되면 학원과 같은 장소보다 횔씬 더 많은 사람이 모일수 있다는 생각은 안하시나요?

학원과 같은 자영업자들만 휴원을 한다고 해서 코로나19가 잠잠해지지는 않습니다..
문제는 대중교통, 회사, 콜센터 등등에서 일어납니다... 
학원과 자영업자들에게만 휴원을 권고하며 코로나19를 예방하자고 말씀 하시기 보다
문제점이 되는 부분에서도 대책을 마련해주시기 바랍니다.
이미 몇천 이상 타격을 입은 자영업자들이 살수 있는 길을 만들어 주시기 바랍니다.",NaN,문화/예술/체육/언론,2020-03-22,2020-04-21,kakao
586920,청원종료,태권도인을 아니 한거정의 가장을 살려주십시요..,1250,"10년째 체육관을 운영하고 있는 두아이의 아빠인 가장이자 관장입니다. 

10년전 어렵게 빚을 얻어서 체육관을 시작하였습니다. 힘들지만 앞을 보면서 열심히 달려왔습니다. 그러나 지금은 너무 힘드네요..그냥 힘든것이 아니고 이제는 체육관을 접어야하는지 고민을 하게 만드는 나날입니다. 

지금 전국이 코로나19로 인하여 대한민국이 사망직전입니다. 아니 저희 처럼 영세한 체육관과 자영업자는 모두 죽을 지경입니다.  얼마전 대출을 받아서 체육관 월세와 사범월급을 줬습니다. 또한 생활비도 했구요...아마도 이런 일은 저뿐이 아니고 대한민국에서 일하는 모든 자영업자는 같은 상황일것으로 알고있습니다.

과연 얼마나 버틸수있을까요..한달??두달?? 또 그렇게 한두달을 버티면 괜찮아 질수있을까요??정말 괜찮아 질까요??

처음 코로나 19가 나왔을때는 괜찮을거라 믿고 이겨보려 했습니다. 처음 확진자가 나왔을때는 열심히 하면 이겨낼수 있을거라 생각했습니다. 1차 2차 개학연기가 발표 되었을때까지도 참아보려 했습니다. 이겨내려 했습니다. 그러나 3차 개학연기와 오늘 발표한 초 강수의 행정명령이 발표되면서 저는 희망이라는 단어를 버리게 되었습니다. 

이해합니다. 학원과 밀집되어있는 모든 체육시설, 유흥시설은 폐쇠및 휴업을 권고하는 이유를...사람들의 밀집된곳을 만들지 않겠다는 이유...하지만 그러면 없어질까요??학교의 아이들을 위해?조금이라도 빠른 종식??을 위해...그러면 학원과 체육시설, 유흥시설만 휴업하면 없어질까요???

회사와 모든 사회 관계망은...모든 버스, 지하철등의 대중교통과 모든 사람들은...이런것은 괜찮고 학원과 체육시설만 폐쇠와 휴업을 하면 과연 괜찮아질까요???

어찌하여 위에계신 정치를 하는 분들은 작은 사람들에게는 엄하고 큰사람들에게는 관대할까요???

이런 의문이 듭니다. 과연 이겨날수있을까??과연 버틸수있을까??하고 의문이 듭니다. 저뿐이 아닐것입니다. 두아이의 아빠, 한집안의 가장, 한사회의 구성원..우리 대한민국 사람 모두가 이런 마음일것입니다. 

이길수 있는 힘을 주십시요..살수있는 희망을 주십시요..가정을 지켜낼수있는 기회를 주십시요...위에 있고 힘있는 사람들의 대변이 아닌 저희처럼 힘없고 대한민국을 움직이고 있는 작은 사람들을 살려주십시요..",NaN,문화/예술/체육/언론,2020-03-22,2020-04-21,naver
586938,청원종료,코로나19로 장사를 못하는 전국의 5일장 상인들과 지역의 노점상들에게 긴급 생활자금을 지원해 주세요.,1671,"안녕하세요. 코로나 감염증 확산으로 얼마나 고생이 많으십니까?

코로나19로 인하여 경제 활동이 마비된 소상공인 지원정책들은 다양하게 나왔습니다.

그렇지만 전국의 5일장 상인들과 지역 노점상 상인들은 등록되지 않은 무허가 자영업자이다 보니

어떠한 지원도 못받는 인권의 사각지역에 몰렸습니다.

3개월 가까이 감염증 사태가 이어지다 보니 가정 경제가 파탄날 위기에 몰린 

무허가 자영업자들의 삶은 어떻게 보상받을수 있을까요?

하루 벌어 하루 쓰는 무허가 자영업자나 일당 노동근로자들은 인권의 사각지대에 놓여 있는 

빈곤층이 많습니다. 특히 고령, 장애인, 지병환자등은 생계가 어려울 지경입니다.

정부의 지원을 받지 못하는 차상위 계층이상자들의 경우 주택이나 처분하지 못하는 부동산등으로

벌이가 없음에도 지원을 받지 못하는 가구가 많습니다.

이것이 현 사회복지 제도의 허점이라고 생각 합니다.

이런 위기에 소상공인들은 대출이나 지원금을 받는다고 하지만

전국의 5일장 상인이나 지역노점 장사꾼들은  장사를 하려 해도 할수 없도록 하여 

국가적 위기에 동참하고 있으나 어떠한 지원도 해주지 않으니 우린 어떻게 살아가란 말입니까?

대한민국의 조세제도중 간접세의 비중이 더 높고 대한민국 국민이라면 누구나 세금을 내고 있는데

우리는 왜 지원해 주지 않는 것입니까? 

차라리 이재명 지사의 말씀대로 누구나 100만원씩 지원하는것이 더 바람직하지 않을까요?

우리들도 선거권이 있고 누구나 평등한 권리를 누릴수 있는 나라 입니다.

전세계적 재난 시기에 전국의 모든 무허가 자영업자들에게도 지원해줄수 있도록 

추가 예산을 편성해서  가구원수당 100만원의 지원과 저신용자 최저금리 대출을 지원 받을수 있도록

신속한 편성을 부탁드립니다.

코로나 사태가 이후로 더 장기화 된다면 수많은 무허가 자영업자들이  고통받게 될것입니다.

새로운 일자리 창출보다 지금의 존재하는 일자리를 보강 및 손질해서 합법화 하면 실업률 상승에 기여 할것입니다.",NaN,보건복지,2020-03-23,2020-04-22,naver
586951,청원종료,"소상공인 긴급자금2,000만원  무이자로 대출지원을 청원합니다.",323,"지금 자영업자들이  길거리에 내몰리게 생겼습니다.
작금의 상황에서는  자영업자들이 줄도산이 예상됩니다.
대통령님!
제발 현장을 나가보세요.
얼마나 심각한지요.
가게를 열어도 한사람도 오질 않습니다.
이러면 어떻게 해야합니까?
긴급자금을 공짜로 지원해달라는것이 아니라
긴급자금이라도 무이자로 지원대도록 정부가 보증을  해주더라도  이번 만큼은 정부에서  긴급 수혈이 필요해보입니다.
간곡히  요청드리고 답변과 방향을 제시해주셨으면
감사하겠습니다.",NaN,경제민주화,2020-03-23,2020-04-22,naver
